added_by,artist,award,banner,description,downloads,host,listens,official,rating_count,rating_score,release_date,title,tracks,views
OfficialFuture,Future,Platinum,sponsored,New mixtape from Future hosted by The Empire. Follow on twitter: www.twitter.com/1Future,313020,The Empire,465155,1,750,91,06/09/2011,True Story,17,1447862
IAmMixtapes,Trinidad James,Platinum,sponsored,"New mixtape Don't Be S.A.F.E present by Trinidad James.First of all, S.A.F.E. actually stands for Sensitive As Fuck Everyday. This is great advice! Be sensitive sometimes, but maybe not all the time. Not only is it good advice, it’s also a fitting title for Atlanta-based Trinidad James’ debut release, which is an appealingly sloppy album that oscillates between bummer moments and hilarious observations. What’s really appealing though, is James’ voice, which is a hoarse, elastic rasp that is nimble and great at conveying humor as well as it does sadness.",314061,,210270,1,483,93,10/16/2012,Don't Be S.A.F.E,10,830769
2Chainz,2 Chainz,Platinum,sponsored,"New free EP from 2 Chainz ""FreeBase""",314145,,394627,1,752,91,05/05/2014,FreeBase,7,1165449
OfficialWakaBSM,Waka Flocka Flame,Platinum,exclusive,"Waka releases his 2nd installment in the ""Duflocka Rant 2"" series this time hosted by DJ Ace.  Features include Lil Wayne, Gucci Mane, French Montana, Wooh Da Kid & more!",316060,Trap-a-holics & DJ Ace,342079,1,623,92,02/05/2013,Duflocka Rant 2,17,1556509
IAmMixtapes,Chris Brown,Platinum,sponsored,New Mixtape from Breezy & Dj Drama,320046,Dj Drama & Dj Sense,519138,1,1395,94,02/14/2010,In My Zone (gangsta Grillz),21,1444937
MrFeatured,Gucci Mane,Platinum,sponsored,New mixtape from Gucci Mane hosted by Love Dinero,321522,Love Dinero,686617,1,1314,89,01/14/2011,Gucci 2 Time,17,1837146
ItsMacMiller,Mac Miller,Platinum,sponsored,"Do it big or don’t do it at all. We all expected something big for Mac hitting a million followers on Twitter. He gives a 13 track mixtape full of great music. From his highly anticipated collaboration with Bun B to a joint with 9th Wonder, we got blessed. He included several songs we got along the road to a million too. Blue Slide Park drops November 8. Follow @MacMiller",322091,,432755,1,1090,95,10/14/2011,"I Love Life, Thank You",13,1147716
flybeats09,Travi$ Scott,Double Platinum,sponsored,"New free album from Travis Scott ""Days Before Rodeo""",504064,,1365057,1,3850,98,08/18/2014,Days Before Rodeo,12,2962734
el presidente,Tyga,Platinum,exclusive,"YOUNG MONEY'S TYGA DROPS HIS OFFICIAL NEW MIXTAPE 'BLACK THOUGHTS' W/ DJ ILL WILL & DJ ROCKSTAR AND EXCLUSIVELY ON DATPIFF & @HOTNEWHIPHOP. 

FOLLOW 

www.twitter.com/tyga & www.twitter.com/deejayillwill www.twitter.com/realdjrockstar & www.twitter.com/datpiffmixtapes",252427,"Dj Ill Will, Dj Rockstar",285354,1,607,92,11/19/2009,Black Thoughts,14,1077382
MrFeatured,Curren$y,Platinum,sponsored,New mixtape from Curren$y,252768,,323421,1,1071,97,01/01/2011,Return To The Winner's Circle,11,1010647
IAmMixtapes,Meek Mill,Platinum,sponsored,"This is a RETAIL Mixtape, it was not supposed be available for download, but the demand was too much, ya'll just couldn't wait.  So make sure you support Meek Mill, Jahlil Beats, Charlie Mack & the whole 215 Aphilliated and purchase a hard copy as well from http://blackandnobel.com/catalog.dws?level=3&id=1873 And be sure to follow www.twitter.com/meekmill www.twitter.com/ajahlilbeat",252873,Dj Drama,433858,1,812,91,03/12/2010,Flamers 3,25,1308679
Officiallevi,Young Scooter,Platinum,sponsored,"New Mixtape From Young Scooter- street lottery, Presented by DJ Scream, DJ Swamp Izzo. Features from Gucci Mane, Future, Bun-B, Chief Keef, Cash Out & More.",253794,"DJ Scream, DJ Swamp Izzo",343145,1,447,94,01/01/2013,Street Lottery,22,885721
flybeats09,Rich Homie Quan,Platinum,sponsored,"New mixtape from Rich Homie Quan ""If You Ever Think I Will Stop Goin' In Ask RR""",254523,DJ Fresh,625667,1,529,86,04/28/2015,If You Ever Think I Will Stop Goin' In Ask RR,20,1307111
frenchmontana,French Montana,Platinum,exclusive,"New collaborative EP from French Montana x Harry Fraud ""Mac & Cheese 4: The Appetizer."" The warm up for French's official new Mac & Cheese project dropping SOON. Follow @FrenchMontana @HarryFraud @DatPiff",255188,,499993,1,716,93,12/19/2014,Mac & Cheese 4: The Appetizer,7,1580922
BiG_SouZ_PA,Earl Sweatshirt,Platinum,sponsored,"Earl Sweatshirt Releases His First Fucking Album. Lyrics About Rape, Coke, And Couches Will Be Blaring In  Your Ears With The Dopest Fucking Beats To Date. Featuring Production By Tyler The Creator, Left Brain And Others.",255468,,327368,1,1704,97,12/19/2010,Earl,10,1160123
IAmMixtapes,Chris Webby,Platinum,exclusive,"New mixtape from Chris Webby ""Bars On Me"" hosted by DJ Drama and powered by DatPiff.com",255566,DJ Drama,259696,1,1356,97,09/30/2012,Bars On Me,16,1189952
09ken09,"Kendrick Lamar, Jay Rock, Ab-Soul, Schoolboy Q, K. Dot",Platinum,,"The up and coming group from the West Coast.

artwork by kmeaden",257475,Black Hippy,272964,1,935,96,01/11/2011,Black Hippy,11,1461011
lildurk,Lil Durk,Platinum,exclusive,New mixtape from Lil Durk hosted by DJ Moondawg & DJ Victoriouz,258548,DJ Moondawg & DJ Victoriouz,294045,1,519,92,10/19/2012,Life Aint No Joke,15,1070096
IAmMixtapes,Lupe Fiasco,Platinum,sponsored,Official NEW Mixtape from Lupe Fiasco.  Happy Thanksgiving!,262018,,288012,1,973,95,11/26/2009,Enemy Of The State: A Love Story,12,1053477
flybeats09,Torch,Platinum,exclusive,New mixtape from Maybach Music Group  & Triple C's own Torch,264624,Evil Empire,173115,1,200,92,07/04/2012,No AC (Hosted by Evil Empire) ,14,495232
ReddyRell,Various Artists,Gold,exclusive,@DJReddyRell @HipHopTXL,153657,DJ Reddy Rell,161318,0,63,90,01/30/2014,Hip Hop TXL Vol 33,44,606461
MGKMusic,Machine Gun Kelly (MGK),Platinum,sponsored,,250302,Mr. Peter Parker and DJ E-V,235855,1,737,94,02/27/2010,100 Words And Running,20,886661
lilpeep3300,Lil Peep & Lil Tracy,Bronze,sponsored,"Lil Peep & Lil Tracy present ""Castles 2""",43078,,104571,1,870,93,02/07/2017,Castles 2,5,320474
Share,Young Buck,Bronze,sponsored,,43113,DJ Drama,124070,1,240,92,02/06/2006,Case Dismissed - The Introduction of G-unit South,21,275433
flybeats09,Audio Push,Bronze,sponsored,"New mixtape from Audio Push ""The Good Vibe Tribe """,43114,,85328,1,248,96,04/20/2015,The Good Vibe Tribe ,14,225298
djskee,Snoop Dogg,Bronze,sponsored,,43148,"DJ Whoo Kid, DJ Drama, DJ Skee",65791,1,181,96,11/18/2006,Tha Blue Carpet Treatment (Tha Mixtape),26,239374
frenchmontana,Cokeboy Zack,Bronze,exclusive,"Cokeboy Zack presents his new mixtape titled ""Here's Half"" featuring Quavo, Post Malone, Belly, Jeremih & more! Download or Stream NOW exclusively on DatPiff!",43150,,284703,1,833,79,06/03/2016,Here's Half,10,594388
flybeats09,Bishop Nehru,Bronze,sponsored,,43164,,22735,1,131,98,03/05/2013,Nehruvia,13,153050
youngchris,Young Chris,Bronze,exclusive,"New mixtape from Young Chris ""Gunna Season"" presented by Jaccpot Ent",43163,Jaccpot Ent,45518,1,79,90,05/06/2014,Gunna Season,23,228785
,Harry Fraud,Bronze,exclusive,,43189,,,1,,83,,The Coast,0,
flybeats09,Gillie Da Kid,Bronze,exclusive,"New mixtape from Gillie Da Kid hosted by DJ Drama. 
Follow on twitter @Gillie_Da_Kid @DJDrama @DatPiffMixtapes",43251,DJ Drama,66221,1,202,90,03/08/2012,King Of Philly: Gangsta Grillz,17,270698
slashmajor,Nipsey Hussle,Bronze,sponsored,"The young European producer Slash Major presents a new remix tape called TMR. 
TMR (The marathon remixes) is a compilation of 11 remixes from Nipsey Hussle´s mixtape TMC. Right after Reverb Nation X Dj Skee opened the TMC remix contest, Slash Major decided to sit in front of the keyboard, take his guitar, and start this exclusive project for all of you.

Twitter: http://www.twitter.com/slashmajor
Facebook: http://www.facebook.com/slashmajoronthehit
Tumblr: http://slashmajor.tumblr.com/
Beats: http://www.slashmajor.net
For prices, questions, features, etc: slashmajor@gmail.com",43265,,53745,0,168,79,08/15/2012,Nipsey Hussle X Slash Major - TMR (The Marathon Remixes),11,191244
Share,"Sqad Up, Lil Wayne",Bronze,sponsored,,43302,,117870,1,199,89,10/19/2006,SQ7,26,351322
Share,Eminem,Bronze,,,43317,Dj Exclusive,166889,0,247,96,02/07/2006,The Freestyle Manual,32,321998
YUNGSAV305,21 Savage,Gold,sponsored,21 21 21,142307,HoodRichKeem,439226,1,1020,88,12/01/2015,Slaughter King,14,960413
Mad_Decent,Riff Raff & Dame Grease,Silver,sponsored,"Only on the rarest of days could RiFF RAFF drop his mixtape Hologram Panda produced by the legendary Dame Grease. One of two mixtapes planned for release before his Diplo produced Mad Decent debut album.With 12 new tracks covering everything you love about RiFF, slow burners, ratchet bangers and that Jody Highroller stream of conscious. With the year coming to a close RiFF is setting up to have one hell of a 2013.",75062,,80560,1,225,94,12/12/2012,Hologram Panda,12,358083
LilBtheBasedGod,"Lil B ""The BasedGod""",Silver,exclusive,"THIS IS THE FIRST OF ITS KIND! A MUST COLLECT AND LISTEN!!!! I LOVE YOU WITH MY LIFE AND HEART - Lil B
https://twitter.com/LILBTHEBASEDGOD
https://www.facebook.com/LILBTHEBASEDGOD
http://instagram.com/lilbisgod",75045,Lil B,103343,1,351,95,12/24/2013,05 Fuck Em,101,489909
gunna,Gunna,Bronze,sponsored,"YSL's Gunna delivers part 2 of ""Drip Season"" Support and purchase here: https://itunes.apple.com/us/album/drip-season-2/id1235061432",41519,,195114,1,686,84,05/11/2017,Drip Season 2,16,465650
IAmMixtapes,Masspike Miles,Bronze,exclusive,"New mixtape from MMG's Masspike Miles ""Say Hello To Forever"" Follow on twitter @MasspikeMiles",41522,MMG,38856,1,131,92,01/24/2012,Say Hello To Forever,13,194750
belly,Belly,Bronze,sponsored,"“This is the introduction for me: it's not a new chapter in my story, it's a completely new book,” Belly told FADER. Its slurry of comedown tales are “a reflection of my real life,” he said. “I live this shit.”

The Weeknd lends a high-soaring hook to “Might Not,” Travi$ Scott melts over “White Girls,” French Montana and Juelz Santana punch up “Dealer Plated” and “Love Kills” respectively. The features were “genuine collaborations,” Belly said. “I make music with my friends. You can't force passion.""",41574,XO,104629,1,242,96,05/07/2015,Up For Days,10,251035
IAmMixtapes,Trey Songz,Bronze,sponsored,,41787,,63988,0,194,96,07/28/2010,Already Taken,17,239454
jnic0247,J.Nic,Bronze,sponsored,"Official release by J.Nic Fifth mixtape. ""honestly if it wasent for music i would be lost. id like to thank Mark Cornell my producer and shout out to all my fans and family.Enjoy! Landen this one if for you!""Art work by Jennifer Vaughn.",41885,Mark Cornell,34142,0,97,100,05/08/2014,Valium 5,21,110743
flybeats09,Starlito,Bronze,sponsored,New EP from Starlito,41800,,62418,1,164,95,11/02/2011,#UW: Separation Anxiety ,9,207270
flybeats09,Gillie Da Kid,Bronze,exclusive,"Gillie The Kid releases his third installment in the ""King of Philly"" mixtape series.  Hosted by the prince of NY DJ Self and DJ Superstar Jay.",41890,DJ Self & DJ Superstar Jay,50677,1,81,84,06/18/2014,King Of Philly 3,18,215422
kirkobangz,Kirko Bangz,Bronze,sponsored,"Kirko Bangz presents ""Progression 17""",41909,,151344,1,737,79,08/10/2017,Progression 17,16,352664
flybeats09,Problem,Bronze,sponsored,"Problem releases a two-part Mollywood 3 mixtape. The last of the fan-favorite series, Welcome to Mollywood 2, dropped in 2012.  Side A is available NOW and Side B will be releasing THURSDAY exclusively on DatPiff.",41935,Diamond Lane,73666,1,104,92,06/30/2015,Mollywood 3: The Relapse (Side A),18,222664
karlkani,Derez De'Shon,Bronze,sponsored,"New mixtape from Derez De'Shon ""Pain"" available now!",41964,DJ Drama,213677,1,524,91,08/21/2017,Pain,18,367721
DjTakeova57,"Drake,Trey Songs,Lil Wayne",Bronze,,"1) Drake ft Trey Songs - Replacement Girl
2) Drake ft Trey SOngs - Unstoppable
3) Drake - Say Whats Real
4) Trey Songs - Love Lockdown Remix
5) Drake - Friends With Money
6) Trey SOngs - Dreams Remix
7) Trey Songs ft Drake - Pop Rose
8) Trey Songs - Day And Night Remix
9) Drake - Im Still Fly
10) Trey Songs - Blame It Remix
11) Drake ft Lil Wayne - Ignorant Shit
12) Drake ft Lil Wayne - Ransom
13) Trey SOngs - Why Nigga
14) Trey SOngs - Hood Rules Apply
15) Drake - Unstoppable",41980,Takeova,208785,0,264,84,06/02/2009,Dj Takeova Presents Drake Vs Trey Songs Cd 1,15,610773
Moneyman,Money Man,Silver,sponsored,"New mixtape from Money Man ""24 Hours"" hosted by DJ Dirty Dollaz available now!",71151,DJ Dirty Dollaz,295329,1,1001,82,09/22/2017,24 Hours,7,574767
IAmMixtapes,Riff Raff,Silver,sponsored,DJ FLETCH & RIFF RAFF - SUMMER OF SURF - FOLLOW @DJFLETCH & @JODYHIGHROLLER ON TWITTER - FOR MIXTAPE HOSTING HIT UP MIXTAPETRAP@GMAIL.COM,71452,Dj Fletch,16974,0,41,98,06/29/2012,Summer Of Surf,21,145697
ReddyRell,Various Artists,Gold,exclusive,For all Hip Hop TXL inquires contact: TXLreview@gmail.com. Follow us on Twitter: @DJReddyRell @HipHopTXL @TheDJIceberg & Instagram: HipHopTXLdotcom. Cover art by @KidEightDesigns,130606,"DJ Reddy Rell, DJ Iceberg & HipHopTXL.com",127333,0,67,85,08/20/2014,Hip Hop TXL Vol 47,50,549799
AloxNJ,Don Trip,Silver,sponsored,New mixtape from Don Trip. Follow on twitter: www.twitter.com/MrDonTrip,71495,,70187,1,160,96,08/30/2011,Human Torch III,16,260972
IAmMixtapes,A$AP Rocky,Bronze,sponsored,"OG Ron C, DJ Candlestick and Mr. Rogers present the official chopped and screwed version of ASAP Rocky’s “LiveLoveASAP”. This one features all the original records along with some exclusive freestyles from the ASAP Mob and the ‘Purple Swag (H-Town Allstars Remix)’ with Paul Wall, Bun B and Killa Kyleon.",40405,OG Ron C,48380,0,96,89,03/23/2012,Live Love Purple,23,225849
IAmMixtapes,Bobby V,Bronze,exclusive,"New mixtape form Bobby V ""Vitamin V"" hosted by DJ Holiday.  Follow @BobbyV",40431,DJ Holiday,45861,1,103,90,12/20/2011,Vitamin V,13,202494
flybeats09,Eminem,Bronze,sponsored,,40455,,70830,0,177,93,05/12/2010,I Am Marshall,21,281840
KPReilly02,Gucci Mane,Bronze,sponsored,"Gucci is staying busy dropping a new free album ""Mr Clean, The Middle Man""",40499,1017,70986,1,134,81,03/04/2015,"Mr Clean, The Middle Man",12,228184
chrisettem,Chrisette Michele,Bronze,exclusive,"New project from the lovely Chrisette Michelle ""Steady Gang"" available NOW exclusively on DatPiff!",40513,,158011,1,965,56,02/27/2016,Steady Gang,12,419432
Share,50 Cent & G-Unit,Bronze,exclusive,,40515,,114648,1,366,94,06/17/2006,No Mercy No Fear,19,275776
Tomiax,Dr. Dre,Bronze,,Follow Me www.twitter.com/mrmooz ; www.soundcloud.com/mrmooz,40535,Mooz Beatz,109223,0,260,90,09/06/2010,Dr. Dre - Detox Is Coming,21,312211
flybeats09,Various Artists,Bronze,exclusive,"HipHopEarly.com x DatPiff.com present ""Hip Hop Early Vol 8"" hosted by DJ Reddy Rell. Vol 8 features the hottest tracks out in the past week (July 3 - July 9). Look out for Vol 9 next week and visit HipHopEarly.com for new music EARLY! Follow @HipHopEarly @DJReddyRell",40529,DJ Reddy Rell & HipHopEarly.com,49380,0,34,97,07/10/2012,Hip Hop Early Vol 8,23,185355
Keyn0te,Mac Miller,Bronze,sponsored,mac's first mixtape he made when he was 16. check out the links!,40541,Keynote Productions,105617,1,651,92,01/20/2011,But My Mackin Ain't Easy,9,378608
flybeats09,Stalley,Bronze,exclusive,"The official best of Stalley ""Know More"" Presented by MMG & BCG",40543,,54208,1,111,95,11/21/2013,Know More (The Best Of Stalley),30,239219
DJIceberg,Young Buck,Gold,exclusive,"Young Buck x DJ Whoo Kid present ""10 Pints""",121265,DJ Whoo Kid,426046,1,1459,94,12/10/2015,10 Pints,10,1009324
IAmMixtapes,Meek Mill,Gold,sponsored,PREVIEW FOR FLAMERS 3. Follow Meek on @ www.twitter.com/MeekMill or www.myspace.com/MeekMill,121517,DJ Cosmic Kev,212024,1,529,91,10/13/2009,Flamers 2.5: The Preview,20,651607
djreese24,Tink,Silver,sponsored,Tink Does It Again!,67732,Dj Reese,290759,1,552,94,07/30/2015,Winter's Diary 3,10,528719
arab,AR-AB,Silver,exclusive,"Part 3 of ""Who Harder Than Me"" by AR-AB",67775,DJ Alamo,400734,1,1126,77,03/11/2016,Who Harder Than Me 3,20,800477
Da_ChiiNk,Young Thug & Bloody Jay,Silver,sponsored,"New mixtape from Young Thug & Bloody Jay ""Black Portland""",67810,,116338,1,230,83,01/21/2014,Black Portland,11,416009
Projectpat,Project Pat,Bronze,exclusive,"Project Pat presents ""Trappers & Clappers""",39127,,125384,1,697,85,10/03/2017,Trappers & Clappers,14,306213
Funkatastic,RJ & Choice,Bronze,sponsored,"Hot Pu$haz Ink artist RJ is back with this collaborative mixtape with fellow artist Choice, also known as Royce The Choice.  Guest features from IamSu!, Casey Veggies, Jay 305, Terrace Martin, Que, Leswood, Splacc, Shaun Sloan & Joelle James.",39174,DJ Mustard,114581,1,224,95,01/12/2015,Rich Off Mackin,15,242999
moneybaggyo,Moneybagg Yo & NBA Youngboy,Bronze,,"Moneybagg Yo & NBA Youngboy join forces on ""Fed Babys""",39179,,1162531,1,5821,90,11/16/2017,Fed Babys,14,2101798
Share,Jim Jones,Bronze,,,39183,Dame Dash,147399,1,225,92,11/04/2007,Harlem's American Gangster,16,315088
djev07,Lil Wayne,Bronze,,,39208,Leak Jones,164918,0,234,92,02/11/2009,The Weezy Effect 2,27,387334
LilBtheBasedGod,"Lil B ""The BasedGod""",Bronze,exclusive,"WOW ALL I CAN SAY IS COLLECT THIS RARE MUSIC BEFORE ITS GONE, YOU NEVER NO.. REAL TALK THIS IS AMAZING THO I SEEEE YA LIL B WE GOT HITS ON HERE SUCH AS ""EARTHQUAKE"" PRODUCED BY LIL B ""MONA LISA"" ""LIFE"" AND WAY MORE !!!! 22 BRAND NEW TRACKS!",39220,Lil B,50936,1,248,85,11/22/2012,Crime Fetish,22,247186
Dgreat115,Drake,Bronze,,These are the lost tracks of Drake,39283,,120685,0,30,80,06/12/2015,Lost Tracks ,12,226844
karlkani,Rockie Fresh,Bronze,sponsored,"New mixtape from Rockie Fresh ""The Night I Went To..""",39251,MMG,150393,1,525,91,01/21/2016,The Night I Went To...,13,440180
Da_ChiiNk,AK (Underachievers),Bronze,sponsored,"New project from AK (of The Underachievers) ""Blessings In The Gray."" Follow him @iunderachieve",39313,,34896,1,226,98,08/02/2014,Blessings In The Gray,9,151731
el presidente,Schoolboy Q,Gold,exclusive,,110922,"DJ Ill Will, DJ Dave",94934,1,180,87,07/29/2008,Schoolboy Turned Hustla,17,502644
ReddyRell,Various Artists,Gold,exclusive,For all Hip Hop TXL inquires contact: TXLreview@gmail.com. Follow us on Twitter: @DJReddyRell @HipHopTXL @TheDJIceberg & Instagram: HipHopTXLdotcom. Cover art by @KidEightDesigns,111658,"DJ Reddy Rell, DJ Iceberg & HipHopTXL.com",129717,0,64,95,10/02/2014,Hip Hop TXL Vol 50,50,529111
